"ano","cod_estacao","no_estacao","n_total","n_ausente","n_negativa","n_zero","n_positiva","pct_ausente","pct_negativa","pct_zero","pct_positiva","n_fontes","fontes"
2017,"12","IPOJUCA",3165,0,0,0,3165,0,0,0,100,0,NA
2017,"14","IFPE",3787,0,0,0,3787,0,0,0,100,0,NA
2017,"15","CPRH",3271,0,0,0,3271,0,0,0,100,0,NA
2017,"PE01","Gaibu",3495,0,0,0,3495,0,0,0,100,0,NA
2018,"12","IPOJUCA",6481,0,0,0,6481,0,0,0,100,0,NA
2018,"14","IFPE",6595,0,0,0,6595,0,0,0,100,0,NA
2018,"15","CPRH",4892,0,0,0,4892,0,0,0,100,0,NA
2018,"PE01","Gaibu",6096,0,0,0,6096,0,0,0,100,0,NA
2019,"12","IPOJUCA",5570,30,0,28,5512,0.538599640933573,0,0.502692998204668,98.9587073608618,0,NA
2019,"14","IFPE",5839,0,0,0,5839,0,0,0,100,0,NA
2019,"15","CPRH",4900,0,0,0,4900,0,0,0,100,0,NA
2019,"PE01","Gaibu",6165,0,0,0,6165,0,0,0,100,0,NA
2020,"12","IPOJUCA",5238,0,0,0,5238,0,0,0,100,0,NA
2020,"13","CUPE",2513,0,0,0,2513,0,0,0,100,0,NA
2020,"14","IFPE",3513,0,0,0,3513,0,0,0,100,0,NA
2020,"15","CPRH",2107,0,0,0,2107,0,0,0,100,0,NA
2020,"PE01","Gaibu",2561,0,0,0,2561,0,0,0,100,0,NA
2021,"12","IPOJUCA",7726,0,0,0,7726,0,0,0,100,0,NA
2021,"13","CUPE",7952,0,0,0,7952,0,0,0,100,0,NA
2021,"14","IFPE",4576,0,0,0,4576,0,0,0,100,0,NA
2021,"15","CPRH",4193,0,0,0,4193,0,0,0,100,0,NA
2022,"12","IPOJUCA",8275,0,0,0,8275,0,0,0,100,0,NA
2022,"13","CUPE",8055,0,0,0,8055,0,0,0,100,0,NA
2022,"14","IFPE",7865,0,0,0,7865,0,0,0,100,0,NA
2022,"15","CPRH",8061,0,0,0,8061,0,0,0,100,0,NA
2022,"16","SUAPE",7902,0,0,6,7896,0,0,0.0759301442672741,99.9240698557327,0,NA
2024,"12","IPOJUCA",3927,0,2,2,3923,0,0.0509294626941686,0.0509294626941686,99.8981410746117,2,"CPRH | N/A"
2024,"13","CUPE",3242,0,24,4,3214,0,0.740283775447255,0.123380629241209,99.1363355953115,2,"CPRH | N/A"
2024,"14","IFPE",1535,0,0,65,1470,0,0,4.23452768729642,95.7654723127036,2,"CPRH | N/A"
2024,"15","CPRH",3115,0,0,0,3115,0,0,0,100,2,"CPRH | N/A"
2025,"12","IPOJUCA",7568,0,4,1,7563,0,0.0528541226215645,0.0132135306553911,99.933932346723,1,"CPRH"
2025,"13","CUPE",1655,0,3,29,1623,0,0.181268882175227,1.75226586102719,98.0664652567976,1,"CPRH"
2025,"14","IFPE",1993,0,0,354,1639,0,0,17.7621675865529,82.2378324134471,1,"CPRH"
2025,"15","CPRH",962,0,2,0,960,0,0.207900207900208,0,99.7920997920998,1,"CPRH"
